product_id,product_name,brand_name,category,product_name_part_1,product_name_part_2,product_name_part_3,product_name_part_4,product_name_part_5,product_name_part_6
108764,"Strengthening , Rosemary Mint",Mielle,Shampoo,Strengthening , Rosemary Mint,,,,
6419,"Smooth As Silk™, Deep Moisture , For Damaged Hair",Giovanni,Shampoo,Smooth As Silk™, Deep Moisture , For Damaged Hair,,,
6412,"Tea Tree Triple Treat, Invigorating , For All Hair Types",Giovanni,Shampoo,Tea Tree Triple Treat, Invigorating , For All Hair Types,,,
100354,"Jamaican Black Castor Oil, Strengthen & Restore",SheaMoisture,Shampoo,Jamaican Black Castor Oil, Strengthen & Restore,,,,
6398,"50:50 Balanced™, Hydrating-Clarifying , For Normal to Dry Hair",Giovanni,Shampoo,50:50 Balanced™, Hydrating-Clarifying , For Normal to Dry Hair,,,
99878,"Jamaican Black Castor Oil, Strengthen & Restore",SheaMoisture,Shampoo,Jamaican Black Castor Oil, Strengthen & Restore,,,,
122069,"Strengthening Solid Bar, Rice Water Protein, White Tea & Mandarin, 1 Bar",Kitsch,Shampoo,Strengthening Solid Bar, Rice Water Protein, White Tea & Mandarin, 1 Bar,,
14368,"Root 66, Max Volume , For Limp, Lifeless Hair",Giovanni,Shampoo,Root 66, Max Volume , For Limp, Lifeless Hair,,
120649,"Curl & Shine , Thick, Curly Hair, Coconut & Hibiscus",SheaMoisture,Shampoo,Curl & Shine , Thick, Curly Hair, Coconut & Hibiscus,,
97575,"Kids Extra-Nourishing , Mango & Carrot",SheaMoisture,Shampoo,Kids Extra-Nourishing , Mango & Carrot,,,,
99931,"Tea Tree Triple Treat, Invigorating , For All Hair Types",Giovanni,Shampoo,Tea Tree Triple Treat, Invigorating , For All Hair Types,,,
100295,"Power Greens , Moringa & Avocado",SheaMoisture,Shampoo,Power Greens , Moringa & Avocado,,,,
103812,"Smooth As Silk, Deep Moisture , For Damaged Hair",Giovanni,Shampoo,Smooth As Silk, Deep Moisture , For Damaged Hair,,,
99933,"50:50 Balanced, Hydrating-Clarifying , For Normal to Dry Hair",Giovanni,Shampoo,50:50 Balanced, Hydrating-Clarifying , For Normal to Dry Hair,,,
120652,"Manuka Honey & Mafura Oil, Intensive Hydration , Extra Dry, Damaged Hair",SheaMoisture,Shampoo,Manuka Honey & Mafura Oil, Intensive Hydration , Extra Dry, Damaged Hair,,
108740,"Care For Kids, Tear-Free Nourishing , Gentle Care for Textured Hair",Cantu,Shampoo,Care For Kids, Tear-Free Nourishing , Gentle Care for Textured Hair,,,
114613,Daily Hydration with Coconut Milk & Acacia Senegal,SheaMoisture,Shampoo,Daily Hydration with Coconut Milk & Acacia Senegal,,,,,
142654,"Volumizing Solid Bar, Rosemary & Biotin, Lavender & Vanilla",Kitsch,Shampoo,Volumizing Solid Bar, Rosemary & Biotin, Lavender & Vanilla,,,
122598,"Kids Care, Moisturizing , For Coils, Curls and Waves",Dove,Shampoo,Kids Care, Moisturizing , For Coils, Curls and Waves,,
108736,"Shea Butter, Cleansing Cream , For Natural Curls, Coils & Waves",Cantu,Shampoo,Shea Butter, Cleansing Cream , For Natural Curls, Coils & Waves,,
122070,"Nourishing Solid Bar, Castor Oil, Sugared Amber & Shea",Kitsch,Shampoo,Nourishing Solid Bar, Castor Oil, Sugared Amber & Shea,,,
92460,"Dermacare Scalp, Anti-Dandruff , Soothing Moisture",Dove,Shampoo,Dermacare Scalp, Anti-Dandruff , Soothing Moisture,,,
97586,"Raw Shea Butter, Deep Moisturizing , Curly to Coily Hair",SheaMoisture,Shampoo,Raw Shea Butter, Deep Moisturizing , Curly to Coily Hair,,,
120663,"Manuka Honey & Yogurt, Hydrate + Repair with Mafura & Baobab Oils",SheaMoisture,Shampoo,Manuka Honey & Yogurt, Hydrate + Repair with Mafura & Baobab Oils,,,,
75760,"2chic, Ultra-Moist , For Dry, Damaged Hair, Avocado + Olive Oil",Giovanni,Shampoo,2chic, Ultra-Moist , For Dry, Damaged Hair, Avocado + Olive Oil,
109202,"Shea Butter, Moisturizing Cream",Cantu,Shampoo,Shea Butter, Moisturizing Cream,,,,
120672,"Anti-Dandruff , Apple Cider Vinegar",SheaMoisture,Shampoo,Anti-Dandruff , Apple Cider Vinegar,,,,
125040,"EverPure, Bond Repair",L'Oréal,Shampoo,EverPure, Bond Repair,,,,
81710,"2chic, Frizz Be Gone , Shea Butter + Sweet Almond Oil",Giovanni,Shampoo,2chic, Frizz Be Gone , Shea Butter + Sweet Almond Oil,,,
75770,"2chic, Ultra-Sleek , For All Hair Types, Brazilian Keratin + Moroccan Argan Oil",Giovanni,Shampoo,2chic, Ultra-Sleek , For All Hair Types, Brazilian Keratin + Moroccan Argan Oil,,
43351,"2chic, Ultra Sleek , For All Hair Types, Brazilian Keratin + Moroccan Argan Oil",Giovanni,Shampoo,2chic, Ultra Sleek , For All Hair Types, Brazilian Keratin + Moroccan Argan Oil,,
136943,"Rosemary Mint Complex, Strengthening , For All Hair Types",Luseta Beauty,Shampoo,Rosemary Mint Complex, Strengthening , For All Hair Types,,,
75773,"2chic, Repairing , For Damaged, Over-Processed Hair, Blackberry + Coconut Milk",Giovanni,Shampoo,2chic, Repairing , For Damaged, Over-Processed Hair, Blackberry + Coconut Milk,
98846,"Keratin , For Damaged & Dry Hair",Luseta Beauty,Shampoo,Keratin , For Damaged & Dry Hair,,,,
119935,"High Porosity Moisture Replenish , Mongongo & Jojoba Oils",SheaMoisture,Shampoo,High Porosity Moisture Replenish , Mongongo & Jojoba Oils,,,,
92607,"Dermacare Scalp, Anti-Dandruff , Dryness & Itch Relief",Dove,Shampoo,Dermacare Scalp, Anti-Dandruff , Dryness & Itch Relief,,,
114712,"Cucumber & Moisture , For Dull Hair",Dove,Shampoo,Cucumber & Moisture , For Dull Hair,,,,
75761,"2chic, Ultra-Moist , For Dry, Damaged Hair, Avocado + Olive Oil",Giovanni,Shampoo,2chic, Ultra-Moist , For Dry, Damaged Hair, Avocado + Olive Oil,
98847,"Biotin & Collagen , For Thin & Dry Hair",Luseta Beauty,Shampoo,Biotin & Collagen , For Thin & Dry Hair,,,,
109281,"Art Of , Men, 2-In-1 Daily & Conditioner with Ginseng and Eucalyptus",Giovanni,Shampoo,Art Of , Men, 2-In-1 Daily & Conditioner with Ginseng and Eucalyptus,,,
98845,"Tea Tree & Argan Oil , For Damaged & Oily Hair",Luseta Beauty,Shampoo,Tea Tree & Argan Oil , For Damaged & Oily Hair,,,,
114604,Intensive Repair,Dove,Shampoo,Intensive Repair,,,,,
122076,"Purple Toning Solid Bar, Biotin, Orange Blossom & Jasmine",Kitsch,Shampoo,Purple Toning Solid Bar, Biotin, Orange Blossom & Jasmine,,,
104732,"Elvive, Color Vibrancy, Purple , Highlighted Brunette, Blonde & Grey Hair",L'Oréal,Shampoo,Elvive, Color Vibrancy, Purple , Highlighted Brunette, Blonde & Grey Hair,
119079,"Avocado Hydrating , For Natural Curls, Coils & Waves",Cantu,Shampoo,Avocado Hydrating , For Natural Curls, Coils & Waves,,,
109287,"Smoothing Castor Oil , For All Hair Types",Giovanni,Shampoo,Smoothing Castor Oil , For All Hair Types,,,,
121937,"Elvive, Hyaluron + Plump, 72H Hydrating , Dry, Dehydrated Hair",L'Oréal,Shampoo,Elvive, Hyaluron + Plump, 72H Hydrating , Dry, Dehydrated Hair,
114610,Daily Moisture,Dove,Shampoo,Daily Moisture,,,,,
110483,"Moisturizing and Detangling , Pomegranate & Honey",Mielle,Shampoo,Moisturizing and Detangling , Pomegranate & Honey,,,,
124469,"Scalp Relief , Guava",Cantu,Shampoo,Scalp Relief , Guava,,,,
75790,"2chic, Ultra-Volume , For Fine, Limp Hair, Papaya + Tangerine Butter",Giovanni,Shampoo,2chic, Ultra-Volume , For Fine, Limp Hair, Papaya + Tangerine Butter,
115674,"Curl Habit, Curl Defining , For All Curl Types",Giovanni,Shampoo,Curl Habit, Curl Defining , For All Curl Types,,,
92401,"Men+Care, 2 in 1 + Conditioner, Fresh & Clean",Dove,Shampoo,Men+Care, 2 in 1 + Conditioner, Fresh & Clean,,,
143768,Bond Strength + Peptide Complex,Dove,Shampoo,Bond Strength + Peptide Complex,,,,,
122054,Biotin & Collagen Strengthening,Giovanni,Shampoo,Biotin & Collagen Strengthening,,,,,
125043,"Ever Strong, Thickening , Rosemary Leaf",L'Oréal,Shampoo,Ever Strong, Thickening , Rosemary Leaf,,,
142327,"Men, Refreshing , Vetiver & Neroli",SheaMoisture,Shampoo,Men, Refreshing , Vetiver & Neroli,,,
98851,"Color Brightening Purple , For Blonde & Gray Hair",Luseta Beauty,Shampoo,Color Brightening Purple , For Blonde & Gray Hair,,,,
124728,"Sea Moss Blend, Anti-Shedding",Mielle,Shampoo,Sea Moss Blend, Anti-Shedding,,,,
125041,"EverPure, 1 Glossing",L'Oréal,Shampoo,EverPure, 1 Glossing,,,,
130197,"Men's 2 in + Soap, 1 Bar Soap",Okay Pure Naturals,Shampoo,Men's 2 in + Soap, 1 Bar Soap,,,,
75772,"2chic, Repairing , For Damaged, Over-Processed Hair, Blackberry + Coconut Milk",Giovanni,Shampoo,2chic, Repairing , For Damaged, Over-Processed Hair, Blackberry + Coconut Milk,
75791,"2chic, Ultra-Volume , For Fine, Limp Hair, Papaya + Tangerine Butter",Giovanni,Shampoo,2chic, Ultra-Volume , For Fine, Limp Hair, Papaya + Tangerine Butter,
75784,"2chic, Ultra-Luxurious , To Pamper Stressed-Out Hair, Cherry Blossom + Rose Petals",Giovanni,Shampoo,2chic, Ultra-Luxurious , To Pamper Stressed-Out Hair, Cherry Blossom + Rose Petals,,
111240,Argan Oil,Luseta Beauty,Shampoo,Argan Oil,,,,,
125921,"Kids 2-In-1 Curl & Shine & Conditioner, Coconut & Hibiscus",SheaMoisture,Shampoo,Kids 2-In-1 Curl & Shine & Conditioner, Coconut & Hibiscus,,,,
92491,"Oxygen Moisture , For Fine Hair",Dove,Shampoo,Oxygen Moisture , For Fine Hair,,,,
142298,"Scalp + Hair Therapy, Hydrating",Dove,Shampoo,Scalp + Hair Therapy, Hydrating,,,,
125898,"Men, Moisturizing , Raw Shea Butter & Mafura Oil",SheaMoisture,Shampoo,Men, Moisturizing , Raw Shea Butter & Mafura Oil,,,
143758,"Scalp + Hair Therapy, Clarifying",Dove,Shampoo,Scalp + Hair Therapy, Clarifying,,,,
75783,"2chic, Ultra-Luxurious , To Pamper Stressed-Out Hair, Cherry Blossom + Rose Petals",Giovanni,Shampoo,2chic, Ultra-Luxurious , To Pamper Stressed-Out Hair, Cherry Blossom + Rose Petals,,
143776,"Men + Care, 2-in-1 + Conditioner, Orange & Sage",Dove,Shampoo,Men + Care, 2-in-1 + Conditioner, Orange & Sage,,,
133492,"Ultra Care, Intensive Repair Conditioner, For Damaged Hair",Dove,Shampoo,Ultra Care, Intensive Repair Conditioner, For Damaged Hair,,,
114629,Coconut & Hydration,Dove,Shampoo,Coconut & Hydration,,,,,
107500,"Men+Care, 3 + Conditioner + Body Wash, SportCare, Endurance with Orange Peel Extract",Dove,Shampoo,Men+Care, 3 + Conditioner + Body Wash, SportCare, Endurance with Orange Peel Extract,,
111246,"Jamaican Black Castor Oil , For Thin & Dry Hair",Luseta Beauty,Shampoo,Jamaican Black Castor Oil , For Thin & Dry Hair,,,,
121941,"Ever Pure, Moisture with Rosemary",L'Oréal,Shampoo,Ever Pure, Moisture with Rosemary,,,,
133493,"Ultra Care, Intensive Repair , For Damaged Hair",Dove,Shampoo,Ultra Care, Intensive Repair , For Damaged Hair,,,
142657,"Solid & Body Wash Bar, Ultra Sensitive",Kitsch,Shampoo,Solid & Body Wash Bar, Ultra Sensitive,,,,
121375,"Anti-Frizz , Avocado & Tamanu",Mielle,Shampoo,Anti-Frizz , Avocado & Tamanu,,,,
143791,"Bond Repair , Amla Oil",SheaMoisture,Shampoo,Bond Repair , Amla Oil,,,,
121933,"Elvive, Dream Lengths Curls, Moisture Push",L'Oréal,Shampoo,Elvive, Dream Lengths Curls, Moisture Push,,,
143763,"Sulfate-Free , Color Care",Dove,Shampoo,Sulfate-Free , Color Care,,,,
107557,"Men + Care, , Purifying, Charcoal + Clay",Dove,Shampoo,Men + Care, , Purifying, Charcoal + Clay,,
124456,Flaxseed Smoothing,Cantu,Shampoo,Flaxseed Smoothing,,,,,
138628,"Elvive, Total Repair 5, Repairing , Damaged Hair",L'Oréal,Shampoo,Elvive, Total Repair 5, Repairing , Damaged Hair,,
143765,"Sulfate-Free , Silky Smooth",Dove,Shampoo,Sulfate-Free , Silky Smooth,,,,
101311,"Amplified Textures, Hydrating Cleanse",Dove,Shampoo,Amplified Textures, Hydrating Cleanse,,,,
124834,"Certified Natural Argan Oil From Morocco, Sulfate Free Moisture & Shine",Creme Of Nature,Shampoo,Certified Natural Argan Oil From Morocco, Sulfate Free Moisture & Shine,,,,
96213,"Black Jamaican Castor Oil,",Okay Pure Naturals,Shampoo,Black Jamaican Castor Oil,,,,,
124700,"Soothing , Oats & Honey",Mielle,Shampoo,Soothing , Oats & Honey,,,,
136941,"Tangle Free , For All Hair Types",Luseta Beauty,Shampoo,Tangle Free , For All Hair Types,,,,
143771,Nourish & Clarify,Dove,Shampoo,Nourish & Clarify,,,,,
142304,"Love Your Lasting Length, Sulfate-Free",Dove,Shampoo,Love Your Lasting Length, Sulfate-Free,,,,
120670,"Scalp Moisture , Aloe Butter",SheaMoisture,Shampoo,Scalp Moisture , Aloe Butter,,,,
108722,"Shea Butter for Natural Hair, Complete Conditioning Co-Wash",Cantu,Shampoo,Shea Butter for Natural Hair, Complete Conditioning Co-Wash,,,,
125042,"Ever Pure, Volume , Lotus",L'Oréal,Shampoo,Ever Pure, Volume , Lotus,,,
143772,"Curl Definition & Strength , For Curly & Wavy Hair",Dove,Shampoo,Curl Definition & Strength , For Curly & Wavy Hair,,,,
111239,"Biotin B-Complex Thickening , For Thin & Dry Hair",Luseta Beauty,Shampoo,Biotin B-Complex Thickening , For Thin & Dry Hair,,,,
124861,"Pure Honey, Moisturizing Dry Defense , For Dry, Dehydrated Hair",Creme Of Nature,Shampoo,Pure Honey, Moisturizing Dry Defense , For Dry, Dehydrated Hair,,
142303,"Love Your Waves, Sulfate-Free",Dove,Shampoo,Love Your Waves, Sulfate-Free,,,,
107555,"All Day Frizz Control , Papaya & Neroli with Elderflower",SheaMoisture,Shampoo,All Day Frizz Control , Papaya & Neroli with Elderflower,,,,
129805,"For Men, , Hair & Beard with All Natural Castor Oil",Okay Pure Naturals,Shampoo,For Men, , Hair & Beard with All Natural Castor Oil,,,
124448,"Revitalizing , Acai Berry",Cantu,Shampoo,Revitalizing , Acai Berry,,,,
114556,"Ultra Shine , For All Hair Types, Tsubaki + White Tea",Giovanni,Shampoo,Ultra Shine , For All Hair Types, Tsubaki + White Tea,,,
124691,"Moisture RX, Moisturizing And Anti-Breakage , Hawaiian Ginger",Mielle,Shampoo,Moisture RX, Moisturizing And Anti-Breakage , Hawaiian Ginger,,,
129804,", Conditioner & Treatment, 3-in-1 Hair & Beard, For Men",Okay Pure Naturals,Shampoo,, Conditioner & Treatment, 3-in-1 Hair & Beard, For Men,,
130199,Men Professional 2-in-1 & Conditioner,Okay Pure Naturals,Shampoo,Men Professional 2-in-1 & Conditioner,,,,,
143764,"Sulfate-Free Purple , Gorgeous Grays",Dove,Shampoo,Sulfate-Free Purple , Gorgeous Grays,,,,
120650,"Curl & Shine , Thick, Curly Hair, Coconut & Hibiscus",SheaMoisture,Shampoo,Curl & Shine , Thick, Curly Hair, Coconut & Hibiscus,,
107449,"Men + Care, , Purifying, Charcoal + Clay",Dove,Shampoo,Men + Care, , Purifying, Charcoal + Clay,,
115675,"Curl Habit, Curl Defining No-Foam Conditioning , For All Curl Types",Giovanni,Shampoo,Curl Habit, Curl Defining No-Foam Conditioning , For All Curl Types,,,
129779,"Coconut Hibiscus, Deep Moisturizing,",Okay Pure Naturals,Shampoo,Coconut Hibiscus, Deep Moisturizing,,,,
92400,", For Fine Flat Hair, Lavender & Volume",Dove,Shampoo,, For Fine Flat Hair, Lavender & Volume,,,
122802,"Men+Care 3 n 1, Body + Face + Hair Wash with Menthol, Recharge",Dove,Shampoo,Men+Care 3 n 1, Body + Face + Hair Wash with Menthol, Recharge,,,
119933,"Grapeseed Oil & Tea Tree Oils, Low Porosity Weightless Hydrating",SheaMoisture,Shampoo,Grapeseed Oil & Tea Tree Oils, Low Porosity Weightless Hydrating,,,,
124713,"Rice Water Collection, Hydrating",Mielle,Shampoo,Rice Water Collection, Hydrating,,,,
134513,"Coconut Water Curl Cleanse, Hydrating",Camille Rose,Shampoo,Coconut Water Curl Cleanse, Hydrating,,,,
110488,"Conditioning , Babassu",Mielle,Shampoo,Conditioning , Babassu,,,,
122801,"Men+Care, 2 in 1, + Conditioner, Youthfull Revitalize",Dove,Shampoo,Men+Care, 2 in 1, + Conditioner, Youthfull Revitalize,,
92392,Intensive Repair,Dove,Shampoo,Intensive Repair,,,,,
124682,"Nourishing , Mango & Tulsi",Mielle,Shampoo,Nourishing , Mango & Tulsi,,,,
136942,"Glossy Pearl , For All Hair Types",Luseta Beauty,Shampoo,Glossy Pearl , For All Hair Types,,,,
124843,"Detangling & Conditioning , For Normal Hair, Coconut Milk",Creme Of Nature,Shampoo,Detangling & Conditioning , For Normal Hair, Coconut Milk,,,
129773,"Black Jamaican Castor Oil, Coconut Curls,",Okay Pure Naturals,Shampoo,Black Jamaican Castor Oil, Coconut Curls,,,,
121935,"Elvive, Dream Lengths, Restoring",L'Oréal,Shampoo,Elvive, Dream Lengths, Restoring,,,
92494,"Men+Care, 2 in 1 + Conditioner, Fresh & Clean",Dove,Shampoo,Men+Care, 2 in 1 + Conditioner, Fresh & Clean,,,
124846,"Ultra-Moisturizing , Mango & Shea Butter",Creme Of Nature,Shampoo,Ultra-Moisturizing , Mango & Shea Butter,,,,
111232,", Coconut Milk",Luseta Beauty,Shampoo,, Coconut Milk,,,,
130200,"Men Professional, 3-in-1 Men Conditioner & Treatment",Okay Pure Naturals,Shampoo,Men Professional, 3-in-1 Men Conditioner & Treatment,,,,
129781,"Shea , Ultra Moisturizing",Okay Pure Naturals,Shampoo,Shea , Ultra Moisturizing,,,,
109677,"Clean Rinse, Moisturizing & Clarifying , Honey & Peppermint",Camille Rose,Shampoo,Clean Rinse, Moisturizing & Clarifying , Honey & Peppermint,,,
118743,Argan Oil,Creme Of Nature,Shampoo,Argan Oil,,,,,
120666,"Make It Last Wash N' Go , Coconut Custard, With Kokum Butter & Pequi Oil",SheaMoisture,Shampoo,Make It Last Wash N' Go , Coconut Custard, With Kokum Butter & Pequi Oil,,,
124816,"Acai Berry & Keratin, Strengthening , For Dry, Damaged Hair",Creme Of Nature,Shampoo,Acai Berry & Keratin, Strengthening , For Dry, Damaged Hair,,
130198,Body Wash & for Men,Okay Pure Naturals,Shampoo,Body Wash & for Men,,,,,
129777,"Black Jamaican Castor Oil, , Lavender",Okay Pure Naturals,Shampoo,Black Jamaican Castor Oil, , Lavender,,,
134528,"Coconut Water, Curl Coating Cowash, Maximum Hydration",Camille Rose,Shampoo,Coconut Water, Curl Coating Cowash, Maximum Hydration,,,
124487,"TXTR, Cleaning Oil , Color Treated Hair + Curls",Cantu,Shampoo,TXTR, Cleaning Oil , Color Treated Hair + Curls,,,
125894,"Weave and Wig, Residue Remover w/ Aloe Vera, Tea Tree & Borage Seed Oil",SheaMoisture,Shampoo,Weave and Wig, Residue Remover w/ Aloe Vera, Tea Tree & Borage Seed Oil,,,
107459,"Men+Care, 2-In-1 + Conditioner, Revitalizing, Eucalyptus + Birch",Dove,Shampoo,Men+Care, 2-In-1 + Conditioner, Revitalizing, Eucalyptus + Birch,,
119068,"Care For Kids, Dry Foam",Cantu,Shampoo,Care For Kids, Dry Foam,,,,
107368,"Men+Care, 2 In 1 + Conditioner, Reinvigorating, Lime + Cedarwood",Dove,Shampoo,Men+Care, 2 In 1 + Conditioner, Reinvigorating, Lime + Cedarwood,,
121939,"Ever Creme, Deep Nourish with Apricot Oil",L'Oréal,Shampoo,Ever Creme, Deep Nourish with Apricot Oil,,,,
121379,"Styles Protective By Angela, Hair Bath & Cleanser",Cantu,Shampoo,Styles Protective By Angela, Hair Bath & Cleanser,,,,
134522,"Lavender, Fresh Cleanse",Camille Rose,Shampoo,Lavender, Fresh Cleanse,,,,
122800,"Men+Care, , Cooling Relief, Icy Menthol",Dove,Shampoo,Men+Care, , Cooling Relief, Icy Menthol,,
124822,"Certified Natural Argan Oil From Morocco, Apple Cider Vinegar Clarifying Rinse",Creme Of Nature,Shampoo,Certified Natural Argan Oil From Morocco, Apple Cider Vinegar Clarifying Rinse,,,,
124461,Grapeseed Strengthening,Cantu,Shampoo,Grapeseed Strengthening,,,,,
124721,"Strengthening , Rosemary Mint Blend",Mielle,Conditioner,Strengthening , Rosemary Mint Blend,,,,
102845,"Jamaican Black Castor Oil, Strengthen & Restore Leave-In",SheaMoisture,Conditioner,Jamaican Black Castor Oil, Strengthen & Restore Leave-In,,,,
6403,"Smooth As Silk, Deeper Moisture , For Damaged Hair",Giovanni,Conditioner,Smooth As Silk, Deeper Moisture , For Damaged Hair,,,
6414,"Direct Leave-In™ Weightless Moisture , For All Hair Types",Giovanni,Conditioner,Direct Leave-In™ Weightless Moisture , For All Hair Types,,,,
108728,"Shea Butter, Leave-In Conditioning Repair Cream",Cantu,Conditioner,Shea Butter, Leave-In Conditioning Repair Cream,,,,
100350,Jamaican Black Castor Oil Strengthen & Restore,SheaMoisture,Conditioner,Jamaican Black Castor Oil Strengthen & Restore,,,,,
107556,"Hydrate + Repair Multi-Action Leave-In, Manuka Honey & Yogurt",SheaMoisture,Conditioner,Hydrate + Repair Multi-Action Leave-In, Manuka Honey & Yogurt,,,,
102824,"Curl & Shine , Coconut & Hibiscus",SheaMoisture,Conditioner,Curl & Shine , Coconut & Hibiscus,,,,
97566,"Manuka Honey & Mafura Oil, Intensive Hydration",SheaMoisture,Conditioner,Manuka Honey & Mafura Oil, Intensive Hydration,,,,
123623,"Direct Leave-In Weightless Moisture , For All Hair Types",Giovanni,Conditioner,Direct Leave-In Weightless Moisture , For All Hair Types,,,,
108743,"Care For Kids, Leave-In , Gentle Care For Textured Hair",Cantu,Conditioner,Care For Kids, Leave-In , Gentle Care For Textured Hair,,,
6495,"Tea Tree Triple Treat, Invigorating , For All Hair Types",Giovanni,Conditioner,Tea Tree Triple Treat, Invigorating , For All Hair Types,,,
